year,population
1901,220984
1911,242619
1921,263033
1931,289588
1941,321819
1951,361416
1956,415074
1961,457853
1966,20129
1971,6507
1976,557720
1981,567681
1986,568350
1991,568475
1996,551790
2001,512930
2006,505469
2011,514536
2016,519716
