year,population
1851,892061
1861,1111566
1871,1491816
1881,1359027
1891,1488535
1901,1648898
1911,2005776
1921,2360665
1931,2874255
1941,3331882
1951,4055681
1956,4628378
1961,5259211
1966,5780845
1971,6027765
1976,6234445
1981,6438403
1986,6532460
1991,6895963
1996,7138795
2001,7237479
2006,7546131
2011,7903001
2012,8085900
2013,8155500
2014,8214500
2015,8259500
2016,8326100
2017,8398200
